"Name","Sex","Age","Country","Year","Event","Medal","Population","GDP_per_Capita","Density","HappinessRank","HappinessScore","total_medal_amount"
"Georgina Wheatcroft (Hawkes-)","F",36,"CAN",2002,"Curling Women's Curling","Bronze",35851774,43248.52991,4,7,7.328,611
"Lucile Wheeler (-Vaughan)","F",21,"CAN",1956,"Alpine Skiing Women's Downhill","Bronze",35851774,43248.52991,4,7,7.328,611
"Donald Francis ""Don"" Whiston","M",24,"USA",1952,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Robert Charles ""Bob"" White","M",20,"CAN",1956,"Ice Hockey Men's Ice Hockey","Bronze",35851774,43248.52991,4,7,7.328,611
"Shaun Roger White","M",19,"USA",2006,"Snowboarding Men's Halfpipe","Gold",321418820,56115.71843,36,18,6.886,635
"Shaun Roger White","M",23,"USA",2010,"Snowboarding Men's Halfpipe","Gold",321418820,56115.71843,36,18,6.886,635
"Charles Allen ""Charlie"" White, Jr.","M",22,"USA",2010,"Figure Skating Mixed Ice Dancing","Silver",321418820,56115.71843,36,18,6.886,635
"Charles Allen ""Charlie"" White, Jr.","M",26,"USA",2014,"Figure Skating Mixed Ice Dancing","Gold",321418820,56115.71843,36,18,6.886,635
"Charles Allen ""Charlie"" White, Jr.","M",26,"USA",2014,"Figure Skating Mixed Team","Bronze",321418820,56115.71843,36,18,6.886,635
"Ryan Whitney","M",26,"USA",2010,"Ice Hockey Men's Ice Hockey","Silver",321418820,56115.71843,36,18,6.886,635
"Sandra Whyte (-Sweeney)","F",27,"USA",1998,"Ice Hockey Women's Ice Hockey","Gold",321418820,56115.71843,36,18,6.886,635
"Pernilla Christina Wiberg (-Bjerke)","F",21,"SWE",1992,"Alpine Skiing Women's Giant Slalom","Gold",9798871,50579.67365,25,9,7.314,428
"Pernilla Christina Wiberg (-Bjerke)","F",23,"SWE",1994,"Alpine Skiing Women's Combined","Gold",9798871,50579.67365,25,9,7.314,428
"Pernilla Christina Wiberg (-Bjerke)","F",27,"SWE",1998,"Alpine Skiing Women's Downhill","Silver",9798871,50579.67365,25,9,7.314,428
"Hayley Marie Wickenheiser","F",19,"CAN",1998,"Ice Hockey Women's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
"Hayley Marie Wickenheiser","F",23,"CAN",2002,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Hayley Marie Wickenheiser","F",27,"CAN",2006,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Hayley Marie Wickenheiser","F",31,"CAN",2010,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Hayley Marie Wickenheiser","F",35,"CAN",2014,"Ice Hockey Women's Ice Hockey","Gold",35851774,43248.52991,4,7,7.328,611
"Jean Wicki","M",34,"SUI",1968,"Bobsleigh Men's Four","Bronze",8286976,80945.07922,219,5,7.487,275
"Jean Wicki","M",38,"SUI",1972,"Bobsleigh Men's Two","Bronze",8286976,80945.07922,219,5,7.487,275
